start,speaker,,text
2175.776,2,,"Дело не в том, что они наслаждаются своей жизнью, но они наслаждаются этим решением, потому что, вы знаете, возможно, я не знаю, я не психолог, возможно, это было единственное решение, эффективное решение, которое им когда -либо удалось принять в своей жизни."
2179.878,2,,"И они собираются цепляться за это, потому что это дало им агентство, и ничто иное в их жизни никогда не было."
2181.42,2,,"Итак, вы знаете, что я просто просто выбросил его из макушки головы, я не знаю, я не знаю, что на самом деле."
2184.183,2,,"Психология, но в окружающей среде не недостаток еды."
2194.111,2,,"Для них не еда - это решение, а не проблема."
2205.6,2,,"Они не говорят, я бы хотел."
2216.331,2,,"Они не думают, я хотел бы съесть."
2228.166,2,,"Они думают, я желаю чего -то или другого, что они надеются получить, не ели."
2239.372,3,,"Так что да, я не думаю, что это правда, что это гены и аналогично, когда"
2258.408,3,,"Как они называются Incels, когда Incels хотят заниматься сексом и нормальным заняться с ними сексом, и их не принуждает их сексуальное влечение."
2269.073,2,,"Их принуждают их плохие идеи, которые они получили либо от антирациональных мемов, либо, возможно, в некоторых случаях"
2273.476,2,,"Ошибки, но если это была просто ошибка, то это должно быть исправлено, когда они находят лучшие идеи."
2277.058,2,,"Так что да, я не думаю, что нас принуждают наши гены в каком -либо значимом смысле в наши дни, и, вероятно, не очень долго в прошлом."
2280.523,2,,"Но хорошо, так что просто чтобы немного оттолкнуть"
2288.634,2,,"Они все еще противостоят чем -то внутри своих тел, верно?"
2293.561,2,,"Это там, от чего они не могут уйти."
2306.441,2,,Не обязательно.
2312.441,2,,"Они интерпретируют свой голод с точки зрения своего, например, политической повестки дня или своих политических целей."
2316.325,2,,"Они думают, что они делают"
2325.854,2,,"ударить угнетателя и доказывая неправильного угнетателя, и это очень, очень позитивно для них."
2329.516,2,,и больше ощущения.
2337.461,2,,"Должен быть очень экстремальным, прежде чем он заставят вас."
2344.389,2,,"Опять же, мой любимый пример - прыжки с парашютом, где у нас якобы"
2355.171,2,,врожденное отвращение к высотам.
2361.042,2,,"Я не уверен, что верю в эксперименты, но давайте предположим, что ради аргумента, что у нас есть врожденное отвращение."
2368.24,2,,"Если он не врожден, это научилось очень скоро после рождения, то вы знаете,"
2372.005,2,,"Вы идете в самолет, и у вас есть парашют, и вы хотите выпрыгнуть, или вы не хотите прыгать, вы знаете, что в последний момент вы знаете, что некоторые люди хотят это сделать"
2373.567,2,,"Некоторые люди, когда они, наконец, добираются до земли, они говорят, хорошо, я никогда не делаю этого больше."
2381.116,2,,"И другие люди говорят, что я сейчас снова ходить."
2386.662,2,,Теперь разница между этими двумя людьми не в их генах.
2389.73,2,,У них одинаковые гены.
2401.367,2,,"Они испытывают те же ощущения падения и пройти мимо ветра и увидеть, как к ним приходит земля."
2407.699,2,,У них было то же самое
2411.847,2,,Опыт животных.
2413.87,2,,"В своей жизни и один из них истолковал это как ужас, который они никогда не хотят испытать снова, а другой интерпретировал его как лучшую вещь, которая когда -либо случалась с ними."
2417.116,2,,И может быть что -нибудь между ними.
2425.228,2,,Они не их проблема.
2434.162,1,,Это не из их генов.
2449.983,1,,Люди могут переосмыслить ощущения.
2458.613,1,,"В огромной степени, гораздо большую, чем когда -либо, случается в повседневной жизни."
2460.676,1,,"Вы знаете, может случиться, что у вас невыносимая боль, когда вы умрете или что -то в этом роде, когда у вас неизлечимая болезнь и"
2473.052,1,,"То, что тогда, тогда да, ваше тело, и я полагаю, что вы могли бы сказать косвенно или гены принуждают вас тогда, но это не то, что является важным фактором в жизни."
2483.541,1,,"Я на самом деле рад использовать пример боли, потому что я на самом деле боролся с болью на протяжении всей своей жизни, и, честно говоря, я чувствую себя очень принужденным."
2487.827,2,,этими ощущениями боли.
2489.769,2,,"И я очень рад, что у нас достаточно больших мозгов, чтобы мы могли изобретать, как лекарства, чтобы иметь возможность остановить эти импульсы, чтобы боль не принуждала меня так, как я не хочу, чтобы меня принудили."
2492.931,2,,"Но я определенно чувствую, что боль - это очень ... может быть ... я имею в виду, очевидно, что это также может быть ... это есть по причине, но это может быть очень принудительной силой в моей жизни - это то, что мне кажется."
2502.219,2,,"И я не сомневаюсь, что вы правы, что я могу переосмыслить это."
2513.684,2,,Но я тоже не нахожу это самой простой.
2515.086,2,,"Я думаю, что это было из -за того, что я думаю, вы, возможно, выпили это, но это было пару лет назад, по крайней мере, я думаю."
2516.769,2,,"Нет, нет."
2526.804,2,,"Но тогда это также верно в отношении того, что вы, я уверен, согласитесь, что это совершенно вопрос идей."
2528.49,2,,"Таким образом, вы можете сказать кому -то, что они были бы намного счастливее, если бы они не были."
2534.197,2,,нацист.
2538.304,2,,Верно.
2546.727,2,,"Но даже если, когда они согласны с вами, они могут быть не в состоянии, им может быть нелегко измениться."
2553.676,2,,"Во -первых,"
2558.241,2,,"Это никогда не бывает достаточно хорошим, чтобы доказать, что кто -то неправ или убедить его в том, что он неправ."
2559.982,2,,"Вы должны дать им то, к чему я призываю, чтобы прыгнуть."
2563.185,2,,"Вы знаете, если вы вытащите коврик из -под них, если только вы не дадите им куда -нибудь, к которому они как -то в конечном итоге получат тот же коврик."
2568.05,2,,"Вы должны решить их проблему или помочь им решить их проблему, как получить"
2569.811,2,,"Вдали от этой идеи, которая причиняет им боль."
2581.658,2,,И это нелегко.
2585.666,1,,"Это может занять всю жизнь, и вы можете потерпеть неудачу."
2592.196,1,,Творчество не легко и ничего не
2599.589,2,,гарантированно.
2604.949,2,,"И я думаю, что прийти в лучшее настроение о боли, если боль большая, особенно тяжело"
2605.45,2,,"Я думаю, что Томас Сасаш написал книгу о боли."
2614.978,2,,"Я не читал это, но я ожидаю, что у него будут хорошие идеи."
2625.456,2,,"Просто чтобы уточнить одну вещь, хотя в примере нацистов, который вы только что использовали, вы бы ни называли эту идею"
2635.865,2,,"иррациональный мем, и вы бы увидели его как форму принуждения, правильно?"
2651.546,2,,Вероятно.
2656.313,3,,"Никогда нельзя быть уверенным в том, как разум попадает в его штаты, потому что он никогда не детерминирован."
2666.471,3,,"Поэтому я предполагаю, что большинство нацистов должны быть нацистами из -за их родителей, потому что их родители дали им концепцию"
2669.255,3,,"государственность и история, самих себя, других людей, сил, и вы знаете целую кучу вещей"
2681.465,3,,"который сделал своего рода костер, неосвещенный костер, который может зажечь искра нацистской речи."
2686.068,3,,Так что я виню родителей.
2694.279,3,,"Но да, я думаю, что нацист, я думаю, в большинстве случаев, это вопрос плохих вещей, которые делаются с ними."
2708.385,3,,Еще один вопрос о генах и умах.
2709.147,2,,"Поэтому, даже если мы примем на некотором уровне основного уровня, что люди являются универсальными объяснениями, я думаю, что это имеет смысл как для Брюса, так и для меня."
2713.897,2,,"Как насчет генетических расстройств, которые влияют на разум?"
2716.903,2,,"Как будто я думаю о чем -то вроде синдрома Дауна, где, вы знаете, у вас есть люди, которые могут"
2720.67,2,,"Часто говорят и шутят и во многих отношениях довольно функциональны, но явно их возможности и личности радикально влияют на их гены."
2725.973,2,,Верно?
2729.702,2,,"Мол, как это вписывается в вашу гипотезу?"
2733.354,2,,"Я не уверен, что это"
2744.458,2,,Полезно думать о своих личностях как о контролируемых их генами.
2746.841,2,,"Их личности - это способ, которым они отвечают."
2748.703,2,,к неадекватности в их мозгу.
2755.492,2,,"Опять же, я не уверен, сколько известно о"
2763.551,2,,"Что именно неправильная функциональность в мозге людей синдрома Дауна людей, но это может быть, скажем, это"
2774.073,2,,Недостаточная кратковременная память или что-то в этом роде.
2780.829,2,,"Я полагаю, это может быть."
2794.068,2,,"Затем, если вы вырастете в обществе, где"
2802.481,2,,"Вам нужно больше кратковременной памяти, чтобы быть счастливыми, чем у вас, тогда вы будете несчастными."
2805.586,2,,"Это может быть, и я предполагаю, что что -то подобное должно быть правдой, что есть способ"
2812.927,2,,"Воспитывая детей вниз по синдрому, так что они будут счастливы."
2823.365,2,,"Таким образом, они способны решить проблемы, которые возникают в их жизни и, следовательно, имеют плодотворную человеческую жизнь."
2833.878,2,,"Чтобы пойти на другую крайность, я уверен, что около сотен лет назад общество сделало бы наоборот."
2846.007,1,,Общество будет
2852.452,1,,"Узнательно поместите их в ситуации, когда они не могут справиться, а затем высмеивать или причинить им вред или что -то в этом роде."
2855.43,1,,"за неспособность справиться, потому что соответствие было ценностью в обществе."
2860.28,1,,"И если кто -то не смог соответствовать определенным образом, то с ним все сделало, что сделало бы это еще хуже."
2865.359,1,,"Точно так же я думаю, что будут способы делать вещи с людьми, так что их жизнь будет лучше, а не хуже."
2872.889,1,,"Будет ли это произойти до синдрома Дауна, я не знаю физически, я не знаю."
2877.836,1,,"Так могу ли я задать вопрос об этом, Питер?"
2882.584,1,,"Итак, вы на самом деле просто сказали что -то, что очень похоже на то, что я думаю, я сказал, когда мы обсуждали это на подкасте."
2886.351,1,,Поэтому я хотел изучить немного дальше и как бы выбрать ваш мозг на это.
2888.313,1,,"Так что, вероятно, есть люди, которые не являются универсальными объяснениями."
2899.181,1,,"И здесь я имею в виду, может быть, кто -то, у кого вообще нет неокоррекса."
2902.204,1,,Они никогда не смогут изучать язык или жить нормальной жизнью.
2909.049,1,,"Но тогда у вас есть эта группа, например, синдром Дауна,"
2911.611,1,,который мы называем умственно оспариваемыми.
2916.558,1,,"И ради аргумента, так как мы на самом деле не знаем, что случилось, давайте пойдем с вашей теорией вне подъема здесь, что не хватает кратковременной памяти или какой-то"
2922.826,1,,"Аппаратный дефект, который приводит к отсутствию кратковременной памяти."
2925.67,1,,"Поэтому они изо всех сил пытаются учиться в нашем обществе по сравнению с кем-то, у кого нет такой недостатки краткосрочной памяти."
2936.541,1,,"Есть две вещи, которые"
2946.326,1,,"Может быть, выйти из этого, если я серьезно воспринимаю эту идею универсального объяснения."
2949.208,1,,"Одна из идей заключается в том, что тот факт, что они универсальный объяснитель, предположительно, человек с синдромом Дауна, все еще является универсальным объяснением."
2957.573,2,,Они могут изучать язык и т. Д. И т. Д.
2960.575,2,,"что вы могли бы иметь из -за обстоятельств и частично, возможно, аппаратных проблем, и частично, возможно, общество не создало необходимости"
2964.561,2,,"Знание, чтобы преодолеть это, у вас может быть кто -то, кто действительно учится медленнее и не учится так много, как другие"
2970.45,2,,"кто -то, кто не оспаривается в обществе."
2975.154,1,,"Но другой прогноз будет заключаться в том, что, по -видимому, будет какой -то способ создать необходимые знания, которые позволили бы им компенсировать."
2980.76,1,,"Ну, даже если это всего лишь один из ста, это все еще ошеломляет."
2983.581,1,,"Мы просто можем не знать, что это такое на сегодняшний день."
2991.937,1,,не компенсируя термин в смысле обучения быстрее.
2995.462,1,,"Это может быть не так, если мы не дадим электронные дополнения в мозг или что -то еще, но"
2996.924,1,,"Но просто в окружающей среде, возможно, они учатся медленнее."
2998.766,1,,"Но важно, решают ли они проблемы, которые у них есть?"
3000.529,1,,Ага.
3007.497,1,,"Вопрос, который мы подняли в подкасте, был, не могли бы вы научить кого -то, кому психически трудно заниматься квантовой физикой?"
3010.419,1,,"И я на самом деле спорил, вероятно, да, даже если это было бы очень сложно."
3013.061,1,,Они должны быть заинтересованы в этом.
3017.284,2,,Они должны были бы захотеть это сделать.
3026.741,2,,"Это, вероятно, займет их намного, намного дольше."
3032.525,2,,"Может быть, даже, возможно, вам придется иметь возможность продлить их жизнь, вы знаете, за семьдесят лет или что -то в этом роде."
3038.097,2,,"И я знаю, что Питер немного скептически относился к этому."
3040.982,2,,"Я признаю, что даже я чувствую себя немного скептически относимся к этому утверждению."
3051.158,2,,"Но, похоже, это то, что выходит из идеи универсального объяснения."
3056.842,2,,"что они должны быть в состоянии изучать сложный субъект, такой как квантовая физика, теоретически, если, возможно, с более медленной скоростью."
3063.931,2,,"Ну, это зависит от того, что такое аппаратный недостаток."
3072.816,2,,"Потому что, если это кратковременная память, это одно."
3078.499,2,,Потому что можно создать способы обойти это.
3092.363,2,,"Но если это так, я не знаю, буфер узора или что -то в этом роде, сложность идеи, что вы можете удержать"
3100.006,2,,"В то же время, это может быть труднее передвигаться."
3111.728,2,,"И снова, есть разница между тем, что мы могли бы сделать с аппаратным обеспечением"
3129.7,2,,"Улучшения и то, что мы можем сделать с чисто улучшениями окружающей среды, например, как вы относитесь к человеку."
3137.708,2,,"Я думаю, я предполагаю, что даже шимпанзе мог"
3142.835,2,,"Будьте полностью человеком, если в их мозгу была установлена ​​правильная программа."
3146.097,2,,"Вполне может быть совершенно невозможно установить такую ​​программу, просто делая что -то с шимпанзе."
3148.894,2,,"Прямо, разговаривая с ним или что -то в этом роде, обучая его языку жестов или правильно, да, так что это может быть невозможно, но я думаю, что оборудование"
3154.101,2,,"Я нахожу очень неправдоподобным, что оборудование не способно делать это, потому что их мозг похож, я не знаю, размер на одну четверть или что -то в этом роде, и мы не используем"
3164.181,2,,"Нам не нужно использовать более четверти нашего мозга, чтобы сделать какую -либо конкретную вещь, например, поговорить."
3166.745,2,,Остальная часть мозга делает вещи.
3179.264,1,,Это вопрос оборудования и программного обеспечения.
3186.189,1,,Человек - это программа.
3187.05,1,,"Мозг - это оборудование, на котором работает эта программа."
3191.332,1,,"И я думаю, что очень правдоподобно, что оборудование шимпанзе может запустить программу человека."
3197.076,3,,"Просто мы не знаем, как установить эту программу."
3199.764,3,,"И, кстати, это было бы, это будет преступление, потому что этот человек был бы установлен в шимпанзе со всеми недостатками, которые имели бы."
3204.432,3,,"И это все равно, что сделать кого -то вниз по синдрому специально."
3211.854,3,,Большое спасибо.
3222.835,3,,"На самом деле, это прояснило много вещей, которые мы обсуждали в прошлом, и как вы смотрите на них."
3226.197,2,,"Так что я на самом деле не написал ни одного из этих вопросов, но когда я увидел эту возможность, я действительно хотел спросить об этом."
3234.5,2,,Так что спасибо.
3234.922,2,,"Я думаю, что это на самом деле приводит к моему вопросу об универсальности."
3237.86,2,,"Итак, Дэвид, когда я впервые прочитал вашу книгу, я думаю, что у меня был довольно проста"
3243.665,2,,"Посмотреть, если не прямое недоразумение о том, что вы говорили о человеческой универсальности и нашей способности создавать бесконечные"
3250.27,2,,Бесконечное создание знаний и объяснение.
3252.532,3,,"Сначала я думал, что вы говорите, что человеческая универсальность была своего рода следствием того, что наш мозг - универсальные компьютеры."
3257.235,3,,"Верно, нет."
3267.012,3,,"Кстати, это моя вина."
3277.887,3,,"Я не подчеркивал это различие, я думаю, вообще в книге."
3280.35,2,,"Я думаю, что я сделал различие, но это очень фундаментальная вещь, что есть два вида универсальности."
3282.372,2,,"Одним из них является оборудование, а одним является программное обеспечение."
3288.837,2,,И они не одинаковы и видят это так.
3299.691,2,,"Хорошо, это не моя вина, тогда хорошо, определенно нет, но Брюс Брюс помог мне понять, что универсальные компьютеры в основном цены на дюжину."
3301.717,2,,"И теперь я понимаю, что, возможно, вы делаете что -то большее похожее на аналогию между человеческими умами и универсальными компьютерами."
3307.075,2,,"Это верно, аналогия?"
3318.584,2,,"Нет, это аналогия."
3323.248,2,,"Таким образом, две способности связаны."
3330.111,2,,"Благодаря тому, что программа, которая является человеком, должна работать на оборудовании, которое является мозгом."
3332.092,2,,Так что это связь.
3334.253,2,,"Это должен быть универсальный компьютер, потому что в противном случае"
3336.536,2,,"Как только вы делаете компьютер, а не повсеместно, они резко сокращают типы программы, которую он может запустить, вы знаете, если вы возьмете компьютерный чип."
3346.8,2,,Это универсальный компьютер в
3350.87,2,,А потом вы удаляете один транзистор.
3357.156,2,,Это будет работать почти так же.
3362.02,2,,Время от времени будет ошибка.
3367.105,2,,"Если вы удалите их много,"
3373.632,2,,"Дело в беспорядке, но если вы увидите, в чем проблема, вы можете изменить программу, чтобы обойти это."
3386.389,2,,Так что это все равно будет универсальным.
3401.223,2,,"Просто вам придется написать немного более сложную программу, чтобы она мог использовать свою универсальность."
3404.028,2,,"Я все еще говорю о универсальности Тьюринга, вычислительной универсальности."
3412.242,2,,"Так что, если вы уничтожите немного этого,"
3419.78,2,,"Это все еще универсально, но вы должны написать более сложную программу."
3432.515,2,,"Люди очень изобретательно показали, что вам действительно нужна очень небольшая функциональность, чтобы сделать универсальную функциональность машины."
3434.137,2,,"Таким образом, до тех пор, пока там есть память, вы можете обойтись, работать и работать вокруг обходных путей, пока функциональность не станет такой же, как и раньше."
3445.765,2,,"Точно так же, просто более сложная программа."
3453.72,2,,"И если вы продолжите разрушать вещь, в конце концов вы попадете в то место, где это действительно невозможно."
3456.665,2,,"написать подходящую программу, чтобы обойти отсутствие функциональности."
3459.387,2,,"Но прежде чем вы дойдете до этого, будет становиться все более и труднее втиснуть программу в меньшее и меньшее количество памяти, которая все еще остается на чипе, чтобы все еще сделать ее универсальной."
3461.428,2,,Так что это оборудование.
3467.151,2,,"Теперь я думаю, что с помощью программного обеспечения, а потом люди не говорят, вы знаете,"
3476.297,2,,Почему нет континуума между машинами Тьюринга и менее способными компьютерами?
3484.183,2,,Почему нет континуума между
3486.923,2,,Неоникальные компьютеры и универсальные компьютеры.
3498.933,2,,Почему это просто прыжок?
3506.502,2,,"Ну, это из -за природы универсальности."
3515.071,2,,"То, что вызывает континуум, - это сложность написания программ, которые используют его универсальность."
3517.917,2,,"Это, но универсально или нет, является качественной вещью."
3525.791,2,,"Теперь, когда вы думаете о"
3539.918,2,,"Человеческая программа, работающая на оборудовании, я думаю, что эта программа должна иметь возможность использовать универсальность компьютера."
3543.423,2,,"Но как это делает это очень, очень нечувствительно к ошибкам в оборудовании."
3553.137,2,,"Поскольку программа творчества, вы, вы знаете, сама программа - это то, что пишет обходные пути."
3564.624,2,,"Не программист, потому что нет программиста."
3573.548,2,,"Так что, если с вашим мозгом что -то не так, если несколько нейронов"
3579.321,2,,"Вырежьте, вы даже не замечаете, потому что вы просто выполняете работу, вы знаете, вероятно, есть работа вокруг процессов, работающих на бессознательном уровне постоянно, чтобы справиться с такими вещами."
3584.438,2,,"А что, если вы потеряете немного больше своего мозга?"
3586.447,2,,"Ну, тогда работа вокруг будет сложнее, и в конечном итоге это будет невозможно."
3602.416,2,,Но поэтому объяснительная универсальность
3607.611,2,,"находится на уровне абстракции, где ему просто нужно иметь универсальный компьютер для работы."
3610.854,2,,"Это не становится менее универсальным, если оборудование повреждено."
3616.52,2,,"Это просто означает, что он должен подумать немного больше, чтобы обойти аппаратные повреждения."
3618.542,2,,До...
3632.711,2,,"Это становится невозможным или, вероятно, на практике, пока не понадобится целая жизнь, чтобы подумать об этом, вы знаете, или это требуется слишком много времени, чтобы думать, как это сделать."
3639.448,2,,Люди обрушиваются потрясающе
3644.034,2,,инвалидность.
3649.48,2,,"Так что, очевидно, у нас есть оборудование для распознавания лица в нашем мозге."
3662.242,2,,Я видел документальный фильм о
3673.859,1,,"Я думаю, что это было из -за того, что я думаю, вы, возможно, выпили это, но это было пару лет назад, по крайней мере, я думаю."
3676.662,1,,"о людях с этой инвалидностью, и они знают, что сталкиваются с слепотой, и они могут жить нормальной жизнью, они просто изучают"
3684.578,2,,"Я думаю, что это было из -за того, что я думаю, вы, возможно, выпили это, но это было пару лет назад, по крайней мере, я думаю."
3686.101,2,,"Я думаю, что это было из -за того, что я думаю, вы, возможно, выпили это, но это было пару лет назад, по крайней мере, я думаю."
3686.622,2,,"Чтобы использовать аппаратное обеспечение, которое они должны выполнить, потому что аппаратное обеспечение, которое у них есть, все еще универсально."
3689.176,2,,Они могут использовать его для выполнения соответствующих вычислений.
3693.822,2,,"Не так быстро, как специальное оборудование, но достаточно быстро, чтобы жить нормальной жизнью."
3697.006,2,,"Я думаю, что это было из -за того, что я думаю, вы, возможно, выпили это, но это было пару лет назад, по крайней мере, я думаю."
3697.607,3,,"Поэтому вместо того, чтобы распознавать чье -то лицо, вы учитесь иметь что -то вроде, когда вы встречаете кого -то, и вы хотите вспомнить, как они выглядят, у вас есть контрольный список."
3699.95,3,,"Из вас, что вы знаете, этот человек - блондинка и голубые глаза, у нее борода, и вы знаете, что лучше выбираете вещи, которые не могут легко измениться."
3704.076,3,,Верно.
3705.923,3,,"Был парень со слепотой, который заставил его жену носить лук в ее волосах, чтобы он мог узнать ее на вечеринке."
3719.773,3,,Верно.
3722.977,2,,Верно.
3729.56,2,,"Итак, вы знаете, это обходной путь."
3736.218,2,,Ага.
3736.84,2,,"И в той степени, в которой работает обходной путь, вы ведете нормальную жизнь."
3744.679,2,,"Если обходной путь недостаточно хорош, вы можете подумать о лучшем обходном пути."
3748.52,2,,Верно.
3752.682,2,,И так далее.
3758.991,2,,Еще одна вещь в универсальном объяснении.
3774.201,2,,гипотеза.
3787.268,3,,"Я думаю, что один из интересных отказов, который я слышал, заключается в том, что это своего рода тавтология в том, что я уверен, что вы слышали это раньше, если что -то за пределами человеческого понимания,"
3799.748,3,,Как мы когда -либо узнали по определению?
3802.849,3,,Ага.
3804.97,3,,Ага.
3805.311,3,,"Итак, как мы узнаем, что мы универсальные объяснения с этой точки зрения?"
3808.032,1,,"Я думаю, что это возвращается к более старой, предварительно-популярной концепции того, что нет."
3810.253,1,,"Ну, даже если это всего лишь один из ста, это все еще ошеломляет."
3810.513,1,,Хорошо.
3812.634,1,,"Итак, вы знаете, откуда мы знаем, что мы не можем вообще ошибаться во что -либо."
3814.201,1,,"Вы знаете, вы можете ошибаться, что у вас пупок."
3819.065,1,,"И, вы знаете, когда вы в последний раз посмотрели?"
3822.887,1,,Это может быть.
3834.036,1,,"Что есть вещи, за исключением нашего понимания, но предложение о том, что есть вещи, за пределами нашего понимания, является принципиально плохим объяснением."
3838.578,1,,"Это как архетип всех плохих объяснений, потому что в нем говорится, вы знаете, я собираюсь постулировать все, что мне нравится, и вы не можете быть уверены, что это не так."
3842.68,1,,"Хорошо, так как это всегда верно во всем, что вы можете сказать, иррационально воспринимать это серьезно."
3845.942,1,,"Мне это нравится, архетип плохих объяснений."
3851.765,1,,Хорошо.
3859.525,1,,Хорошо.
3869.139,1,,"Большое спасибо, Дэвид."
3873.325,1,,"Брюс, ты хочешь, мы должны?"
3885.04,1,,Ага.
3891.084,1,,Могу ли я поставить вопросы космологии?
3896.028,1,,Пожалуйста.
3899.333,1,,Ага.
3900.655,1,,"Итак, в ткани реальности,"
3904.801,1,,Последняя глава была моей любимой главой.
3914.076,1,,"Это было идеально, потому что вся книга была приведена к своего рода поворотам, заканчивающейся научной фантастикой, которая заставляет вас переосмыслить все, верно?"
3923.18,1,,"И на самом деле это была глава, которая заставила моего друга порекомендовать мне книгу."
3927.762,1,,"Так что я был действительно заинтригован точкой Омега, потому что это большая часть этой последней главы."
3936.331,1,,И поэтому я решил прочитать физику бессмертия.
3940.994,1,,"И извините, я должен объяснить несколько вещей, чтобы настроить мои вопросы, поэтому я собираюсь дать здесь немного фона."
3949.726,1,,"Поэтому я обнаружил, что физика бессмертия очень интригующей, но в нем были некоторые аспекты, которые я нашел очень проблематичным."
3955.934,1,,"Поэтому я не был слишком удивлен, когда в начале бесконечности вы вернули часть своей поддержки теории точек Омеги."
3964.429,1,,"И на самом деле вы написали, что чувствовали, что теория была опровергнута наблюдением."
3971.854,1,,"Таким образом, со страницы Four Fifty One из начала бесконечности вы сказали, что небольшая часть революции, которая в настоящее время обгоняет космологию, заключается в том, что модели Omega Point были исключены наблюдением."
3976.877,1,,"Итак, теперь мне показалось интересным, что Типлер на самом деле спорил что -то другое в этом вопросе."
3980.29,1,,"И вот мой вопрос, я сначала дам вам то, что он спорил, а потом я хочу поговорить с вами о"
3995.49,1,,"Очевидное различие здесь, если это имеет смысл."
3998.273,1,,Хорошо.
4007.583,1,,"Итак, Типлер утверждал, что и я не знаю, что значит многие из этих условий."
4015.874,1,,"Итак, он говорит, что создание разрушения числа бариона эклектичным слабым квантовым туннелированием может использоваться в качестве источника энергии для жизни."
4019.559,1,,"и к питанию ракетных кораблей, но это также в конечном итоге приведет к краху базы данных, даже если в этом этапе была энергия, которая разваливалась."
4027.259,1,,"Так что из одной из его книг, говорит он, этого недостаточно"
4037.262,1,,"Чтобы уничтожить некоторые барионы, значительный процент барионов во вселенной должен быть уничтожен в течение более короткого периода времени."
